priorities,tariff_code,tariff_name,rules
1,I,I 덤핑방지관세+,가장 우선하여 적용
,M,M 상계관세,
,J,J 보복관세,
,K,K 긴급관세,
,특정물품긴급관세,특정물품긴급관세 (+),
,T,T 농림축산물특별긴급관세,
,L,L 조정관세(제69조) 제2호,
2,FCL1,FCL1 칠레,3~7 보다 낮은 경우 우선 적용
,FAS1,FAS1 아세안,
,FSG1,FSG1 싱가포르,
,FEF1,FEF1 EFTA,
,FIN1,FIN1 인도,
,FEU1,FEU1 EU,
,FPE1,FPE1 페루,
,FUS1,FUS1 미국,
,FTR1,FTR1 튀르키예,
,FAU1,FAU1 호주,
,FCA1,FCA1 캐나다,
,FCO1,FCO1 콜롬비아,
,FCN1,FCN1 중국,
,FVN1,FVN1 베트남,
,FNZ1,FNZ1 뉴질랜드,
3,C,C WTO양허규정 별표1가,4~7 보다 낮은 경우 우선 적용
,CIT,CIT WTO양허규정 별표1다,
,D,D WTO개도국간의 양허관세,
,E1,E1 일반양허관세,
,E2,E2 방글라데시에 대한 양허 관세,
,E3,E3 라오스에 대한 양허 관세,
,G,G 유엔무역개발회의 개발도상국간 협정관세,
,F,F 특정국가와의 관세협상에 따른 국제협력관세,
,N,N 편익관세,
,"W1, W2","W1, W2 WTO일반양허관세","6, 7 보다 우선하여 적용"
,E2,E2 아태협정양허관세,"4, 5 보다 낮은 경우 우선 적용"
4,L,"L 조정관세(제69조) 제1호, 제3호, 제4호","5, 6, 7 보다 우선적용"
,P,P 할당관세,"5 보다 낮은 경우 우선적용, 6,7 보다 우선 적용"
5,R,R 최빈개발도상국에대한 특혜관세,"6,7 보다 우선적용"
6,B,B 잠정관세,7 보다 우선하여 적용
7,A,A 기본관세,
